audio	sentence	gender	duration
common_voice_sw_28879236.mp3	aliandika vitabu vya maisha ya kiroho 	male_masculine	4.3275
common_voice_sw_30478612.mp3	limetoa fursa kwa wawekezaji wa usafirishaji kwa njia ya maji kwa kutumia boti 	male_masculine	7.0635
common_voice_sw_29795402.mp3	bidhaa zake zilikubaliwa na watu wengi sana 	male_masculine	4.1475
common_voice_sw_29935770.mp3	wamekuwa wakinipa ushirikiano katika kila hatua ninayopitia 	male_masculine	5.9475
common_voice_sw_30629884.mp3	adolf hitler aliibuka kupitia chama cha jumuiya ya mataifa 	male_masculine	5.2275
common_voice_sw_28725285.mp3	ziwa nyasa linapatikana kati ya nchi za malawi msumbiji na tanzania 	male_masculine	6.0555
common_voice_sw_36385734.mp3	kadhalika ushirikiano wa kisayansi umeanzishwa katika asia 	male_masculine	5.4435
common_voice_sw_32210947.mp3	sauti 	male_masculine	3.6435
common_voice_sw_37090988.mp3	basi utakuwa mkosefu wa fadhila bila kujumuisha majina kama patrick balisidya 	male_masculine	5.5875
common_voice_sw_28691415.mp3	kutambua jadi ya spishi za maji baridi ilikuwa tatizo 	male_masculine	6.0555
common_voice_sw_29434588.mp3	kwa sababu hiyo walianzisha mkutano wao wa haki za wanawake 	male_masculine	4.9755
common_voice_sw_28690219.mp3	kwa sasa ndiyo hospitali kubwa ya rufaa na mafundisho nchini 	male_masculine	6.1635
common_voice_sw_29838518.mp3	alikidhi matakwa ya katiba ya jamuhuri ya muungano wa tanzania 	male_masculine	5.2275
common_voice_sw_29864520.mp3	tanzania imejengwa katika misingi ya ushirikiano 	male_masculine	5.0475
common_voice_sw_29815916.mp3	barcelona walifunga chelsea mabao mawili 	male_masculine	5.9835
common_voice_sw_29946215.mp3	bakhresa alianza kuuza mabaki ya mazao ya baharini tu 	male_masculine	5.5155
common_voice_sw_36945152.mp3	ilikuwa inahatarisha maisha ya vikundi vya kimataifa 	male_masculine	5.3355
common_voice_sw_28663142.mp3	leo hii usafiri wa mizigo unapita katika mfereji wa panama 	male_masculine	5.5155
common_voice_sw_30582880.mp3	rasilimali madini ya aina mbalimbali kutoka pembezoni mwa bahari 	male_masculine	6.5235
common_voice_sw_30180188.mp3	milima inatengeneza mazingira mazuri kwa vijiji vinavyozunguka maeneo hayo 	male_masculine	6.0555
common_voice_sw_28681405.mp3	anakumbukwa kwa uchunguzi wake wa hadubini wa ubongo na uti wa mgongo 	male_masculine	6.3435
common_voice_sw_29789284.mp3	fisi wanapatikana mara chache kweye tambarare ya shira 	male_masculine	4.5075
common_voice_sw_37097375.mp3	takriban makabila yote ya tanzania wakiwemo waluguru yana utajiri mkubwa wa historia na taratibu 	male_masculine	9.0075
common_voice_sw_28689985.mp3	amezaliwa na mama wa ghana na baba wa nigeria 	male_masculine	4.7955
common_voice_sw_30098710.mp3	hatua ya kampuni ya kumi bet kuzinduliwa 	male_masculine	4.9035
common_voice_sw_30334820.mp3	mji wa bagamoyo ulihusishwa na biashara ya masafa marefu 	male_masculine	6.3435
common_voice_sw_30629947.mp3	tembo ana ukubwa wa tani saba 	male_masculine	4.30765625
common_voice_sw_30579093.mp3	kuenea katika afrika baada ya mkutano wa berlin 	male_masculine	4.4355
common_voice_sw_30225322.mp3	alianza kufanya mikataba na watawala wenyeji katika maeneo ya usagara nguru useguha na ukami 	male_masculine	7.6755
common_voice_sw_34391610.mp3	ninasoma 	male_masculine	3.4275
common_voice_sw_29945047.mp3	mpandaji wa mlima huu anapitia kanda tofati za hewa 	male_masculine	5.6955
common_voice_sw_30364120.mp3	mashirikisho ya soka ya mabara nayo yakaiga kutoka kwa wasimamizi wa soka duniani 	male_masculine	7.4955
common_voice_sw_35408174.mp3	unatumika kwenye nchi ambazo ni wanachama wa umoja wa mataifa 	male_masculine	6.7035
common_voice_sw_36383667.mp3	katika ya jamii yote ya kimasai ndani kenya na tanzania 	male_masculine	4.2555
