sentence	gender	duration	audio
mahakama pia inatoa mfumo wa kutatua migogoro 	female_feminine	4.7235	common_voice_sw_28584842.wav
iko katika mashariki ya marekani bara 	male_masculine	2.8155	common_voice_sw_29638946.wav
kwa mujibu wa takwimu zilizopo zinaonesha wahadzabe wapo watu chini ya elfu moja 	female_feminine	7.8555	common_voice_sw_31284931.wav
kwa jumla wakristo wanaishi kati ya wafuasi wa dini nyingine 	female_feminine	5.4075	common_voice_sw_35588537.wav
fainali ya kombe la dunia ilichezwa mjini moscow 	male_masculine	4.5075	common_voice_sw_29937752.wav
jeshi la uganda ndilo linafanya kazi ya kulinda amani nchini somalia 	female_feminine	6.5235	common_voice_sw_30205368.wav
wawili walijaribu kutoroka lakini walishikwa na jeshi la polisi la uchunguzi 	female_feminine	5.8035	common_voice_sw_35156956.wav
robin van persie na wesley snejder walikuwa kwenye kikosi cha uholanzi 	male_masculine	5.6595	common_voice_sw_30376028.wav
aliyemfuata mwaka elfu mbili na kumi na tano 	female_feminine	3.6075	common_voice_sw_30337341.wav
raslimali zinazohitajika ili kushughulikia tatizo la 	female_feminine	4.4355	common_voice_sw_36365344.wav
mawasiliano ya karibu yalihitajika ili kushirikisha wadau 	female_feminine	5.2275	common_voice_sw_35176537.wav
kila aina ina faida na hasara yake 	female_feminine	4.2555	common_voice_sw_29642753.wav
mwanasiasa tundu lissu anaijia siasa vyema 	female_feminine	3.9675	common_voice_sw_31787809.wav
kuwa jumuiya hile ilikuwa chombo cha makabaila wakubwa 	female_feminine	6.25165625	common_voice_sw_30005188.wav
ilikuwa jukumu kubwa sana kwake huku akihofia 	female_feminine	4.1475	common_voice_sw_35279197.wav
baadhi ya watemi wa waruri ikiwa ni pamoja na mtwenge 	female_feminine	4.1835	common_voice_sw_29791609.wav
aliendeleza vizuri mambo ya ujamaa na kujitegemea 	female_feminine	6.3435	common_voice_sw_30563424.wav
