audio	sentence	gender_domain
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36013891.wav	yaliundwa kama matokeo ya ushawishi wa karne nyingi 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30181019.wav	maji hayo yanayobubujika kutoka ardhini huonekana yakitoa moshi kama vile maji yanayochemka jikoni 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30026011.wav	vasco da gama alikuwa amezuru mombasa mwaka wa elfumoja mianne tisini na nane 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30180833.wav	michuano ya kombe la dunia ilianzishwa 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_31322650.wav	watanzania hujipatia fedha kutoka kwa watalii 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30017450.wav	huku soka la hispania lilikua sana 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34750299.wav	alikuja mapema juzi 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29937410.wav	na kuweka makambi porini kwa ajili ya kufuata nyasi zilipo 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30586136.wav	nchi nyingi hujivunia utawala wa serikali ya nchi ya tanzania 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30024670.wav	pia mataifa mengine yanayozalisha dhahabu kwa wingi 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29174737.wav	kuweka lynching ni sehemu kamili ya mchezo 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36807661.wav	alianza kusema kuwa tumbo ina shida kila usiku 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37092396.wav	mwezi akiwa peke yake huku njaa na yao ikimkabili 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30090605.wav	katika karne ya ishirini adolf hitler aliibuka na kuwa kiongozi mkuu wa ujerumani 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30020098.wav	alihudumu kama rais wa kwanza wa msumbiji kutoka uhuru wa nchi hiyo 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29922435.wav	walipinduliwa na waarabu wa oman waliorudi kuitawala zanzibar 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30148817.wav	kabila la abakuria pia linakaribiana na kabila la wazanaki 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30365508.wav	abeid karume alichaguliwa kuwa diwani councillor 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28819457.wav	majukumu hutofautiana kulingana na kazi na ukubwa wa shirika 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28682920.wav	mji mkuu ni madrid ambayo ni pia mji mkubwa wa nchi 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30661053.wav	mabadiliko ya dunia na teknolijia na mapinduzi ya kilimo kwa kiasi kikubwa zilibadilisha mtazamo 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28683216.wav	mji wake mkuu ni manchester 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37224515.wav	takriban wananchi mia mbili nchini rwanda wanashikiliwa na jeshi la polisi 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29788667.wav	msitu huu unaopatikana huko america kusini 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29897186.wav	asilimia ipatayo arobaini na tatu ya idadi ya watu wote mkoani ni wahehe 	1
