audio	sentence	gender_domain
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37088308.wav	urusi walianzisha sera ya operesheni maambukizi katika kukabiliana na ukimwi 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30224079.wav	tumia bidhaa za nywele ambazo zinaendana na nywele zako na hakikisha unazingatia mambo muhimu 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28258454.wav	miamba hii iko hatarini kupotea 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29988192.wav	takriban laki saba na elfu hamsini upande wa tanzania 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30022074.wav	hivyo kuyafanya mazingira kuwa safi wakati wote na kuvutia zaidi 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29822737.wav	upana wake ni kilomita kumi na tatu 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36644705.wav	wengi hawakutaka kuondoka kwenye meli nzuri 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29795930.wav	si mataifa yote yalikubaliana na matakwa ya uingereza ya kukomesha biashara ya utumwa 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28690372.wav	ligi kuu ya ethiopia 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30180841.wav	abedi ayew pele alikuwa mchezaji bora wa afrika 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29792189.wav	umri wake wa kuishi ni miaka sitini 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30522726.wav	nimonia na kikohozi kisichoisha kwa tafsiri ya kawaida ni maambukizi yanayojitokeza kwenye mapafu 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29788198.wav	wamasai huamini katika mungu anayeitwa nkai 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35409322.wav	zilichangia sana mafarakano monasteri ya khor virap karne ya saba ikiwa 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35103491.wav	neno fungu la maneno 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30582629.wav	ngamia huishi katika maeneo kame na jangwa 	0
