sentence	gender	duration	audio
idizina bya ngasu netangwa samachau ni jina apewalo mtu mzima aliyepata mchumba na kuoa 	male_masculine	8.7555	common_voice_sw_30147401.wav
pamoja na kuunda kanuni mpya za kusimamia vizuri sekta hizo 	female_feminine	5.1555	common_voice_sw_30640451.wav
uhusiano huo unaweza kuwa katika tabia hali au mazingira fulani 	male_masculine	4.9035	common_voice_sw_28583181.wav
ni ziwa kubwa na lenye maajabu ya pekee duniani kote 	male_masculine	5.2635	common_voice_sw_30575386.wav
pengine jina wanyaturu linapoteza historia yao 	female_feminine	3.7875	common_voice_sw_30659258.wav
moi alimpa uhuru kenyatta na fursa ya kugombea urais katika uchaguzi 	male_masculine	4.7235	common_voice_sw_29994960.wav
moja miaka halafu iendelea kupanda juu ikielekea kabisa 	male_masculine	8.5035	common_voice_sw_35408230.wav
ni wewe wa kuabudiwa ni wewe tena sana 	male_masculine	5.6955	common_voice_sw_36042045.wav
hata hivyo aliweza kushiriki na kushinda 	male_masculine	3.8235	common_voice_sw_28716306.wav
msema kweli mwadilifu mcha mungu na mtu ambaye anaamini katika vitendo kuliko manenosababu 	male_masculine	6.8835	common_voice_sw_37229917.wav
ni ziara iliyokuwa na mafanikio makubwa kwa 	male_masculine	4.7235	common_voice_sw_35224115.wav
mama ameshinda tuzo kubwa sana 	female_feminine	3.4635	common_voice_sw_37083258.wav
iliachana na ushiriki wa vita hivyo vya mataifa 	male_masculine	4.9755	common_voice_sw_29938346.wav
ambapo asilimia hamsini na mbili ya wapiga kura 	male_masculine	3.8595	common_voice_sw_37085776.wav
baadhi ya watafiti walienda kumchunguza blob 	male_masculine	5.0475	common_voice_sw_29979670.wav
mfungaji bora wa michuano ya alikuwa mkolombia 	male_masculine	3.8235	common_voice_sw_29898921.wav
kwamba unapoangalia saa hii tumekuwa na mabadiliko mengi sana katika hii ligi ya hapa 	male_masculine	7.3875	common_voice_sw_36382222.wav
hasa sana hapa dar es salaam hawajapata miji mikubwa kama beya arusha mwanza 	male_masculine	5.6955	common_voice_sw_36318720.wav
tofauti na matarajio ya karume hatua hiyo iliwaleta karibu zaidi 	male_masculine	6.3075	common_voice_sw_30143976.wav
jacob hakuweza kueleza sana kwa kuwa alikuwa na wasiwasi kwa kumhofia yule mdunguaji 	female_feminine	8.5755	common_voice_sw_34762308.wav
wewe humjuhi vizuri malatwe tuulize sisi tukupe habari 	male_masculine	6.7035	common_voice_sw_30090980.wav
mwana kashakuwa asimama dede 	male_masculine	2.7435	common_voice_sw_32210630.wav
hivyo basi atatafutwa mwanamke ambaye hajabahatika kuzaa na atapewa mmoja 	male_masculine	8.3235	common_voice_sw_29796539.wav
alipofanya kazi ya uuzaji wa bia kwa wasafiri 	female_feminine	7.1355	common_voice_sw_30561988.wav
inapatikana mkoani morogoro na ilianzishwa mwaka wa elfu moja mia tisa sitini na nne 	male_masculine	6.1635	common_voice_sw_29963209.wav
