sentence	gender	duration	audio
mvua kubwa ilichangia ukuaji mkubwa wa majani 	female_feminine	5.1555	common_voice_sw_30182312.wav
nchi ilikuwa inaongozwa na gavana ambaye alikuwa mwakilishi wa malkia 	male_masculine	5.4075	common_voice_sw_30450714.wav
ilijengwa kati ya mwaka elfu moja mia tisa na sabini 	male_masculine	4.9035	common_voice_sw_30671505.wav
mwaka elfu mbili na tano kitulo likatangazwa kuwa hifadhi ya taifa 	male_masculine	7.3155	common_voice_sw_30577568.wav
fursa nyingine ni uvuvi wa bahari kuu ufugaji samaki na mazao ya bahari 	male_masculine	7.4955	common_voice_sw_34750536.wav
operesheni hiyo ilipewa jina operation neptune spear 	female_feminine	4.0755	common_voice_sw_31285078.wav
kutoka morogoro kuna njia nyingine ya lami hadi dodoma 	male_masculine	5.6595	common_voice_sw_29509818.wav
kitu kipya leo imba kwa shangwe wewe uliye tasa 	male_masculine	5.0475	common_voice_sw_37084330.wav
wamekuwa wakidhani kwamba mkoa huo una kabila moja tu wakurya 	male_masculine	7.2075	common_voice_sw_36944892.wav
imeshavutia mamia kwa maelfu ya wageni kuitembelea huku ikisubiri kufunguliwa rasmi 	male_masculine	5.6235	common_voice_sw_30019852.wav
na kuchapa kazi na pia kusimamia vyema nyumba yake 	male_masculine	5.2635	common_voice_sw_29902475.wav
inaendelea kupokea ruaha mdogo na mto kisigo 	male_masculine	4.3995	common_voice_sw_30233705.wav
party walipewa nafasi serikalini kufikia machi okello 	male_masculine	5.2275	common_voice_sw_30635647.wav
hatuwezi kusema tuna usawa wakati haki zetu hazizingztiwi 	female_feminine	8.1075	common_voice_sw_29789644.wav
mzee ferguson alikaa miaka ishirini na sita manchester united 	male_masculine	6.3075	common_voice_sw_29796289.wav
hapo wanawake huwa hawaruhusiwi kuingia kuona ila wanaume tu 	female_feminine	6.4875	common_voice_sw_30526919.wav
ni tasnia inayoonekana kusaidia ukuaji wa uchumi kupitia sekta ya utalii 	male_masculine	6.7755	common_voice_sw_37091804.wav
williams anaishi texas akiwa na mkewe pamoja na binti yao 	male_masculine	4.6155	common_voice_sw_29001945.wav
vilevile malengo mengine yalikuwa ni katika kulinda 	female_feminine	4.2555	common_voice_sw_30364097.wav
kiasi cha barafu juu ya mlima ni kidogo sana kuliko kiasi cha maji 	male_masculine	5.6235	common_voice_sw_29936854.wav
kama walimwona msichana mrembo watamtafuta ndugu yao ambaye watamtaka 	male_masculine	6.7755	common_voice_sw_29789388.wav
karibu sana kijana wangu alisema mzee makame kwa uchangamfu 	female_feminine	5.0475	common_voice_sw_37215908.wav
tangu wakati huo mji umendelea kupata umaarufu hadi sasa 	male_masculine	5.6235	common_voice_sw_30180281.wav
kutokana na ukuaji wa sayansi na technolojia katika nchi yetu ya tanzania 	female_feminine	5.8035	common_voice_sw_30220047.wav
nikutakie kila la heri katika siku hii ya leo 	male_masculine	1.9875	common_voice_sw_37225464.wav
wiki ni nyanja za utafiti mwingi 	male_masculine	4.8675	common_voice_sw_29728304.wav
inatakiwa kujiamini kwamba ulemavu sio kikwazo cha kufanya kitu ambacho unakipenda 	male_masculine	7.6395	common_voice_sw_30574832.wav
wa kawaida naweza kufikisha ujumbe kwa jamii kupitia wimbo nikawaelezea hali yangu 	male_masculine	7.4235	common_voice_sw_36299930.wav
nairobi nchini kenya karibu na mpaka wa uganda 	male_masculine	3.8235	common_voice_sw_29795364.wav
mnamo elfu mbili na nne migahawa miwili ya kwanza ya mtandao ilifunguliwa 	male_masculine	5.3355	common_voice_sw_30025433.wav
kutumia mawasiliano hayo yaliyokuwepo tayari watu wa mediteraneo 	male_masculine	5.1555	common_voice_sw_36382163.wav
gera redio ufaransa kwa habari zisioengemea upande wowote huyu ni taib abdala kwambasora 	male_masculine	7.3155	common_voice_sw_35108087.wav
wakati naanza nilikuwa upande wa habari pekee 	male_masculine	4.3275	common_voice_sw_29942124.wav
lupembe alieleza ndege hupendelea kuogelea pamoja 	female_feminine	5.02765625	common_voice_sw_31808930.wav
mchezo wa soka unafuatiliwa sana na watu wengi ulimwenguni 	female_feminine	4.7235	common_voice_sw_30381662.wav
zugu alijitahidi kukabiliana na maji ili amtoe jacob 	male_masculine	6.1995	common_voice_sw_37092628.wav
ambavyo watu wanaweza kuweka nyumbani mwao 	female_feminine	3.8955	common_voice_sw_34835986.wav
adolf hilter aliweza kuwa mwanajeshi wa kawaida 	male_masculine	4.6155	common_voice_sw_30145858.wav
sheria hizi za muungano zilithibitisha hati za muungano 	male_masculine	4.2555	common_voice_sw_29995193.wav
walijadiliana kuhusu ushirikiano wa kimkakati kati ya marekani na kenya kuhamasisha amani na usalama 	female_feminine	7.7835	common_voice_sw_37329863.wav
chanzo cha madrid ni katika zamani za waroma katika hispania 	male_masculine	5.5155	common_voice_sw_29023214.wav
huku watu wengi wakiendelea kuamini kuwa idi amin ndiye mhusika mkuu kwa mauaji 	male_masculine	7.3875	common_voice_sw_30342504.wav
arat ni mwezi wa uhaba ambapo mvua zinanyesha kidogo husababisha mabwawa kukauka 	female_feminine	6.7755	common_voice_sw_36617544.wav
twelipofika twenngoja mwalimu 	male_masculine	3.2475	common_voice_sw_32323955.wav
watu wa sudani ya kusini walihamia uganda 	female_feminine	3.6435	common_voice_sw_30653970.wav
mji wa mto wa mbu ni maarufu kwa shughuli za kiutalii 	female_feminine	5.8755	common_voice_sw_30176377.wav
wengi wanamkata blob vipande waweze kumbeba 	male_masculine	4.3635	common_voice_sw_30025864.wav
baadhi ni ngumu kama almasi 	male_masculine	2.7435	common_voice_sw_29001963.wav
dhoruba ilikuwa kimbunga ya kaskazini ya kitropiki 	male_masculine	4.1475	common_voice_sw_30182446.wav
ndege nyeupe huonekana vizuri zikiwa angani hivyo kuongeza usalama wa ndege 	male_masculine	9.2955	common_voice_sw_31409809.wav
kama unataka kukariri shairi njoo 	female_feminine	3.5355	common_voice_sw_37089141.wav
kinaeleza kisa cha wadigo vizuri tu kutoka huko walipotoka mpaka kuwapo kenya na tanzania 	female_feminine	6.5235	common_voice_sw_30653764.wav
na kuteketeza nyumba hamsini tisa kwa siku ya pili sasa 	male_masculine	3.7155	common_voice_sw_36390353.wav
matumizi ya vidonge vya uzazi wa majira lilikuwa kosa kubwa 	female_feminine	4.9755	common_voice_sw_30035202.wav
wananchi watapata huduma ya umeme kwa wingi majumbani mwao 	female_feminine	5.9475	common_voice_sw_30220481.wav
alianza kufanya mikataba na watawala wenyeji katika maeneo ya usagara nguru useguha na ukami 	male_masculine	7.6755	common_voice_sw_30225322.wav
soka la china linahitaji mwalimu kama pep guardiola 	male_masculine	4.3275	common_voice_sw_29898552.wav
jiji la dar es salaam lilikua haraka na kumeza vijiji vingi vya wazaramo 	male_masculine	6.4875	common_voice_sw_29915168.wav
mjadala wa nani bora kati ya pele na maradona ufungwe kwa wote kupewa heshima 	male_masculine	6.3075	common_voice_sw_30021117.wav
likiwa kilomita za mraba laki tisa arobaini na tano elfu na themanini na saba 	male_masculine	7.2075	common_voice_sw_30182176.wav
baadhi ya mbuni wana rangi tofauti 	female_feminine	4.9035	common_voice_sw_30566728.wav
viongozi wa mataifa mia moja tisini na nne wanakutana jijini kangkon 	male_masculine	8.6475	common_voice_sw_35756762.wav
karagwe kwenye njia kuu ya biashara ya kimataifa na kupunguza umaarufu wake 	male_masculine	6.9555	common_voice_sw_36617434.wav
mabaharia wa mali walikanyaga aridhi miaka ya mia moja na themanini na moja 	male_masculine	7.3155	common_voice_sw_29978863.wav
kama silaha imetoka kwa nani kwa hivyo ni zoezi muhimu sana 	female_feminine	5.6955	common_voice_sw_34979551.wav
hivyo habari hizi bado zinafanyiwa utafiti kuangalia muingiliano wa lugha 	male_masculine	5.6955	common_voice_sw_29997770.wav
real madrid ilishinda mabao manne kwa moja dhidi ya atletico madrid 	male_masculine	5.9835	common_voice_sw_29787801.wav
kwa hiyo ni shughuli ya vizazi na vizazi mpaka leo hii 	male_masculine	3.6075	common_voice_sw_30026681.wav
maboga hushikilia maziwa ambayo hutolewa kwa wageni 	male_masculine	4.5435	common_voice_sw_29996657.wav
imani inaweza kukua kwa upana na kwa dhati au nguvu 	female_feminine	7.1355	common_voice_sw_29702320.wav
hii inafanya kilele chake kuwa mita elfu tano mia nane tisini na tano 	male_masculine	5.0835	common_voice_sw_29963961.wav
mheshimiwa samia suluhu hassan alipata elimu ya msingi katika shule mbalimbali 	male_masculine	7.2435	common_voice_sw_29936176.wav
kwa maana ya watu wanaotoka katika kijiji cha 	male_masculine	3.7155	common_voice_sw_30025689.wav
awali vikosi vya tanzania na washirika wake viliukamata mji huo 	male_masculine	6.0555	common_voice_sw_29995820.wav
ili kuifanya bandari hii kuwa moja ya bandari muhimu barani afrika 	male_masculine	6.0195	common_voice_sw_30364201.wav
mitindo ya kucheza lugha makazi umoja na mshikamano ni vivutio kwa watalii kutoka nje 	female_feminine	6.9555	common_voice_sw_30623563.wav
kitabu cha mwanzo kina sura hamsini 	female_feminine	3.4635	common_voice_sw_28874841.wav
ambayo imepokea fedha za kigeni shirika la utalii 	female_feminine	5.2275	common_voice_sw_30034495.wav
