sentence	gender	duration	audio
urusi walianzisha sera ya operesheni maambukizi katika kukabiliana na ukimwi 	male_masculine	6.2355	common_voice_sw_37088308.wav
tumia bidhaa za nywele ambazo zinaendana na nywele zako na hakikisha unazingatia mambo muhimu 	male_masculine	7.9275	common_voice_sw_30224079.wav
miamba hii iko hatarini kupotea 	male_masculine	4.5435	common_voice_sw_28258454.wav
takriban laki saba na elfu hamsini upande wa tanzania 	male_masculine	4.5435	common_voice_sw_29988192.wav
hivyo kuyafanya mazingira kuwa safi wakati wote na kuvutia zaidi 	female_feminine	5.6235	common_voice_sw_30022074.wav
upana wake ni kilomita kumi na tatu 	male_masculine	3.1755	common_voice_sw_29822737.wav
wengi hawakutaka kuondoka kwenye meli nzuri 	female_feminine	3.1755	common_voice_sw_36644705.wav
si mataifa yote yalikubaliana na matakwa ya uingereza ya kukomesha biashara ya utumwa 	male_masculine	7.3875	common_voice_sw_29795930.wav
ligi kuu ya ethiopia 	male_masculine	2.9955	common_voice_sw_28690372.wav
abedi ayew pele alikuwa mchezaji bora wa afrika 	male_masculine	4.5075	common_voice_sw_30180841.wav
umri wake wa kuishi ni miaka sitini 	female_feminine	3.4275	common_voice_sw_29792189.wav
nimonia na kikohozi kisichoisha kwa tafsiri ya kawaida ni maambukizi yanayojitokeza kwenye mapafu 	female_feminine	8.5035	common_voice_sw_30522726.wav
wamasai huamini katika mungu anayeitwa nkai 	female_feminine	4.4355	common_voice_sw_29788198.wav
zilichangia sana mafarakano monasteri ya khor virap karne ya saba ikiwa 	female_feminine	7.6035	common_voice_sw_35409322.wav
neno fungu la maneno 	female_feminine	3.1755	common_voice_sw_35103491.wav
ngamia huishi katika maeneo kame na jangwa 	female_feminine	3.9675	common_voice_sw_30582629.wav
kila sehemu unayopita utakutana na mto unaotiririsha maji 	female_feminine	5.2635	common_voice_sw_30142556.wav
upande wa biashara tanzania ilisitisha kuagiza bidhaa kutoka kenya 	female_feminine	5.2275	common_voice_sw_30658802.wav
fursa nyingine ni uvuvi wa bahari kuu ufugaji samaki na mazao ya bahari 	male_masculine	7.4955	common_voice_sw_34750536.wav
mfano mfumo maarufu wa nne tano moja unakuwa na mabeki wanne 	male_masculine	7.51165625	common_voice_sw_30633152.wav
simba huwindwa wanapowaua mifugo yao hwauwa pia 	female_feminine	6.4155	common_voice_sw_30436690.wav
tofauti ni kwamba koloni liko kabisa chini ya utawala wa nje 	male_masculine	6.8475	common_voice_sw_28669844.wav
bomoa iyo nyumba 	male_masculine	3.1755	common_voice_sw_31949900.wav
adolf anasema hilo sio tatizo kubwa kwa sababu hakuna anayemdhuru mgeni 	male_masculine	7.5675	common_voice_sw_29936976.wav
