audio	sentence	gender_domain
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30003771.wav	walijiona wamedanganywa kwa kutotimiziwa ahadi walizopewa ili wasaliti ujerumani na hungaria 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37224266.wav	tumeshikana na baba yake 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30038228.wav	kifua kikuu cha mapafu hutokea zaidi kwa wagonjwa wenye upungufu wa kinga mwilini 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30054661.wav	mungu huyu mwenye nguvu na anayeyajua yote 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36255278.wav	ambayo ilikuwa bilioni kumi na nne nukta mbili hata ukaongeza bajeti ya rwanda 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29522129.wav	baadaye ilikuwa makao makuu ya utawala wa mesopotamia katika dola la uturuki 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37098031.wav	pamoja ikionyesha mtu akiwaka moto 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29796975.wav	kwani kupitia bahari ya hindi afrika inafikika kiurahisi kwa kila upande 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35214344.wav	inakisiwa kuwa zaidi ya raia wa sudan elfu kumi amekitaka makao 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30419920.wav	ilikuwa ni kukumbatia sera za kiuchumi za shirika la fedha la kimataifa 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36389766.wav	ya elfu moja mia tisa sabini na tatu jina la hip hop likazaliwa hii 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30073350.wav	magufuli ndio alikuwa chaguo langu la kwanza halafu nikaongeza na wengine 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30074699.wav	ipo bahari ya hindi ambayo ni njia kuu ya usafirishaji wa mizigo 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35221881.wav	kama mwenyewe ambavyo anavyojiita niliendelea kutaka kujua mengi kutoka kwake 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30362919.wav	hifadhi ina makundi makubwa ya tembo wakila majani ziwani 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35157514.wav	hilo linafanana na upendo ambao katika ukristo ndio adili kuu kuliko 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34812452.wav	kadri ujumbe wake ulivyokuwa unazidi kusambaa 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29788491.wav	wakati wa kudai uhuru tanzania ilikuwa mstari wa mbele 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35109590.wav	pia kama barabara ya usimamizi wa mali na michakato 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30653870.wav	sasa kule kaingia kufanya nini na zile pumba jamani 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34597670.wav	mahindi ni asilimia kumi na mbili hadi asilimia thelathini na tisa 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30024620.wav	mbio izo ufanyika katika wilaya mia moja hamsini na moja za kiutawala 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35105842.wav	kwa wanyoro wengi waankole watoro na wanyambo 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_31406016.wav	mabadiliko haya kwenye barafuto za kilimanjaro zinalingana 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29799147.wav	alifuatana na mwalimu nyerere aliyepitia zanzibar 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35156956.wav	wawili walijaribu kutoroka lakini walishikwa na jeshi la polisi la uchunguzi 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30003768.wav	hupiga gumzo na huweka akiba ya chakula 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35104480.wav	mwaka wa elfu moja mia tisa hamsini na tano 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29622770.wav	hasa alichunguza mfumo wa protini mbalimbali 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_31284930.wav	watu walihofia kuwa volkano inaweza kulipuka 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30062283.wav	ethiopia na burkinafaso lakini siyo hizo tu zenye hifadhi za wanyama 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35180569.wav	wala hapana mmoja wapo wao aliyepotea ila yule mwana wa upotevu ili andiko litimie 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37226285.wav	niliomba utakatifu 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37087884.wav	atazungumza pia na wakazi wa halmashauri hiyo pamoja na maeneo jirani 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30025117.wav	kabla ya wangoni kuja songea na kujenga makazi yao 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_32244971.wav	anaimba nyimbo za kanisani 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37088575.wav	maandishi ya lemkin yaliitwa utawala wa kiaksisi 	1
