sentence	gender	duration	audio
zimetajwa kuwa nchi hatari zaidi 	male_masculine	4.6155	common_voice_sw_35410587.wav
nyerere alikuwa hapendi ushauri wa mtu yeyote 	male_masculine	3.9675	common_voice_sw_29936414.wav
kama ilivyo katika nadharia matumizi ya takwimu za majaribio huwa yamefunguka 	male_masculine	4.5075	common_voice_sw_29941730.wav
zamadamu alikaribiana na binadamu kwa umbile 	female_feminine	4.9035	common_voice_sw_30233660.wav
wahitaji hao walipanda meli hiyo kwa tiketi moja 	female_feminine	3.8955	common_voice_sw_37101947.wav
nchi haikuwa na hospitali za kutosha 	female_feminine	3.0675	common_voice_sw_30070688.wav
ronaldo na messi wakapitwa na tevez 	female_feminine	4.4355	common_voice_sw_29791934.wav
alirudia kuvaa nguo zile kwa siku kadhaa 	female_feminine	3.7155	common_voice_sw_35156893.wav
mimea karibu yote inayopatikana katika nchi za kusini na mashariki mwa afrika 	female_feminine	7.4235	common_voice_sw_29788272.wav
jacob alipofika sehemu ambayo sasa alikuwa nyuma ya mtu huyo alimuangalia na kuvuta pumzi 	female_feminine	7.7475	common_voice_sw_34743704.wav
mlima makungwini mashariki na ule mlima malambo 	female_feminine	4.9035	common_voice_sw_30364393.wav
uchaguzi wa rais uliofanyika novemba ishrini na nane mwaka huu 	female_feminine	4.9755	common_voice_sw_35181689.wav
majangili wanaua simba na chui kupata ngozi zao zenye thamani kubwa 	male_masculine	6.1635	common_voice_sw_30182908.wav
inaweza kutumika kutengeneza bidhaa zake badala ya kutegemea kuuza mwani wenyewe 	female_feminine	5.8035	common_voice_sw_34958486.wav
lakini pia ni wakati wa wadau na mashabiki kubadilika 	female_feminine	4.9755	common_voice_sw_36617293.wav
ubovu wa barabara hizo umechangia kwa kiasi kikubwa kukwamisha usafirishaji wa pembejeo 	male_masculine	8.2875	common_voice_sw_29796307.wav
siku hidhi kama huna ilimu ni kidha kichupu huvoni muangaa 	male_masculine	7.2435	common_voice_sw_32323937.wav
vimejengwa viwanda vya kuzalisha sukari kama ilivyo kwa nchi za tanzania na uganda 	male_masculine	5.6235	common_voice_sw_29797151.wav
brazil inaongoza kutwaa kombe la dunia 	male_masculine	4.2555	common_voice_sw_30661052.wav
wazanzibari wengi walitaka kanali seif bakari amrithi karume 	female_feminine	6.3435	common_voice_sw_31581441.wav
masimulizi yanasema walipoingia tanganyika walitamani kufanya makao yao kwenye miteremko ya mlima kilimanjaro 	male_masculine	9.7635	common_voice_sw_30209808.wav
kuwahi kufunga katika fainali za kombe la dunia 	female_feminine	4.0755	common_voice_sw_34906908.wav
tuliweza kupata nafasi kwenda kuweza kutumika katika kombe la dunia 	female_feminine	6.1275	common_voice_sw_34942613.wav
na profesa unafikiri kwamba kutofahamu sheria hizo za soka 	female_feminine	4.8675	common_voice_sw_35183512.wav
