sentence	gender	duration	audio
mwaka wa elfu moja mia nane themanini na nane 	male_masculine	4.4355	common_voice_sw_29956126.wav
ziwa hili pia linapakana na nchi za burundi na jamhuri ya kidemokrasia ya congo 	female_feminine	5.6235	common_voice_sw_29939929.wav
amin alishikilia kuwa uganda inamuhitaji na kamwe hakuonyesha kujuta 	female_feminine	7.3875	common_voice_sw_30108394.wav
hata hivyo wanauchumi maarufu wa uchumi uliotanda kama vile keynes na joskow 	male_masculine	7.7475	common_voice_sw_29977796.wav
kuvunjwa na polisi na watu kufa katika fujo hizo 	female_feminine	4.45165625	common_voice_sw_30004556.wav
hivyo ateri ni sehemu ya mfumo wa mzunguko wa damu 	male_masculine	4.1835	common_voice_sw_28994892.wav
wanafunzi wengi waliyomaliza elimu ya msingi walijiunga na sekondari 	male_masculine	5.5875	common_voice_sw_29937962.wav
namna wanavyopiga makelele na wengine walipewa majina 	female_feminine	4.7955	common_voice_sw_30653572.wav
pep guardiola alipokwenda aliongeza utawala wa bayern kwa timu zingine 	male_masculine	6.7755	common_voice_sw_30485657.wav
hii ya kuishi sio wote wanaofanikiwa kufika uzeeni 	male_masculine	6.0555	common_voice_sw_29980331.wav
hii labda ilisababishwa baridi na na utomvu utokanao na fangasi 	male_masculine	7.9275	common_voice_sw_29796567.wav
mgonjwa wa ukimwi anaweza kuharisha na kutapika 	male_masculine	3.3555	common_voice_sw_36036555.wav
mengi kutoka kwa wazazi wake na familia yake kwa ujumla 	male_masculine	4.7235	common_voice_sw_30222407.wav
akaikemea vikali marekani na na uingereza kuiingilia kijeshi 	male_masculine	7.1355	common_voice_sw_30216241.wav
abanyancha na abangoreme na wengine wengi sana wakati huo 	male_masculine	6.8475	common_voice_sw_29861956.wav
hii ilileta matatizo ya kiuchumi kwa wamiliki wa mashamba ya miwa 	male_masculine	5.5875	common_voice_sw_28830671.wav
baada ya hapo alichukuliwa na runinga ya chicago kuanzisha kipindi chake mwenyewe 	male_masculine	6.1275	common_voice_sw_29996138.wav
