audio	sentence	gender_domain
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_31996016.wav	mbundikebundike huna haja ya kumsonga kilimanjaro kama kawaida 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30327056.wav	stone town ni eneo muhimu la kihistoria visiwani zanzibar 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35104269.wav	ilitokea baada ya mpinzani wao mkuu kuundwa meli kubwa 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36373495.wav	ufa huu kati ya viongozi hao wawili juu ya muungano ulisababisha mengi 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_31909402.wav	sikidha nikwambiao usive nshindani 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30123321.wav	taifa lisilokuwa na wasomi wengi haliwezi kuendelea 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29793147.wav	mlima umetulia kimya ukimtii mmiliki wake 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29895557.wav	baada ya bidhaa kadhaa kukosekana katika taifa hilo serikali ilijaribu kuongoza uchumi 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35104534.wav	muda mrefu ni hatari kwa viumbe hai kwani vitu hivi vyenye mionzi huathiri moja 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_31997416.wav	kuna maulidi msikitini 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30030493.wav	chakula kikuu cha nyangumi ni dagaa kamba ambapo nyangumi mkubwa hula dagaa kamba 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29838580.wav	akaanza kufundisha maadili katika chuo kikuu cha jagiellonian 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34766105.wav	nilitaka kuchukua kila kitu nitoweke lakini sikuwa na nguvu 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_31585383.wav	mto nile umepita katika nchi tano za africa 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_31407010.wav	nitakupeleka radio tanzania uwaambie watanzania kwa njia ya radio 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29151738.wav	mwezi hufuata awamu halisi za mwezi 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30653768.wav	ili kutunza misitu ni lazima kufuata njia sahihi katika utunzaji wa misitu 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34825131.wav	ametupatia jeshi la uhamiaji nafasi mia tatu na hamsini 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29790682.wav	alipata mafunzo mbalimbali katika taasisi ya chuo cha utawala wa umma lahore pakistani 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34917867.wav	kijana mzuri na imara kama huyu anatumia dawa za kuongeza nguvu za kiume 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36617475.wav	na mwaka elfu moja mia nane sabini 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30338461.wav	lakini wakatengana kwa kuhamia sehemu za mbali 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30188854.wav	jakaya kikwete alikuwa waziri kwenye uongozi wa mkapa 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30052684.wav	nyerere alitawala nchi ya tanzania kwa muda mrefu 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30653987.wav	hii humaanisha kabila la kimasai lina wajane wengi 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35279216.wav	yaliyofungwa katika ligi za juu za ulaya na ligi za mabingwa 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36644448.wav	wamekusukuma uende mbali 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30355666.wav	mimi niliambiwa niende gazeti la kingereza na wengine wakapewa gazeti la kishwahili 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36389881.wav	kumi na saba walowezi kutoka uingereza walijipatia ardhi wakipigana na 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37083847.wav	rais jakaya mrisho kikwete aliweka bayana kwamba 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30219354.wav	mawe ya kombeo kwa ajili ya kuwindia 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30176559.wav	sasa wahehe walikuwa na himaya kubwa chini ya mkwawa 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35123667.wav	ni mkutano mkuu wa maaskofu wote wa jumuiya ya kikristu 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34994421.wav	mashairi ya kiswahili yalionesha kuwavutia watu wengi sana waliofurika kwenye tamasha hilo 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35586686.wav	kuwa mkombozi wa walibya na wengi wa raia nchini humo waliamini hivyo tangu hapo 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29421692.wav	wengi pia ni wakristo 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30109164.wav	unaotokana na kuwa na wanyama aina ya sokwe katika eneo lake la hifadhi 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29960747.wav	mamia ya watu walitupwa jela na kwenye kambi za kutumikisha kazi za sulba 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29939935.wav	zamani wapare walikuwa na sala tofauti kwa kila ukoo 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35177022.wav	na hutumika kwa kuvutwa kama sigara 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30327581.wav	nyerere alibatizwa kwenye kanisa la katoliki 	0
