sentence	gender	duration	audio
yaliundwa kama matokeo ya ushawishi wa karne nyingi 	male_masculine	5.4075	common_voice_sw_36013891.wav
maji hayo yanayobubujika kutoka ardhini huonekana yakitoa moshi kama vile maji yanayochemka jikoni 	male_masculine	9.0435	common_voice_sw_30181019.wav
vasco da gama alikuwa amezuru mombasa mwaka wa elfumoja mianne tisini na nane 	male_masculine	6.1635	common_voice_sw_30026011.wav
michuano ya kombe la dunia ilianzishwa 	male_masculine	7.8555	common_voice_sw_30180833.wav
watanzania hujipatia fedha kutoka kwa watalii 	male_masculine	4.9755	common_voice_sw_31322650.wav
huku soka la hispania lilikua sana 	male_masculine	3.7875	common_voice_sw_30017450.wav
alikuja mapema juzi 	male_masculine	4.3275	common_voice_sw_34750299.wav
na kuweka makambi porini kwa ajili ya kufuata nyasi zilipo 	male_masculine	5.4075	common_voice_sw_29937410.wav
nchi nyingi hujivunia utawala wa serikali ya nchi ya tanzania 	male_masculine	7.3155	common_voice_sw_30586136.wav
pia mataifa mengine yanayozalisha dhahabu kwa wingi 	male_masculine	3.1755	common_voice_sw_30024670.wav
kuweka lynching ni sehemu kamili ya mchezo 	female_feminine	4.8675	common_voice_sw_29174737.wav
alianza kusema kuwa tumbo ina shida kila usiku 	male_masculine	3.6435	common_voice_sw_36807661.wav
mwezi akiwa peke yake huku njaa na yao ikimkabili 	male_masculine	6.3435	common_voice_sw_37092396.wav
katika karne ya ishirini adolf hitler aliibuka na kuwa kiongozi mkuu wa ujerumani 	male_masculine	6.1275	common_voice_sw_30090605.wav
alihudumu kama rais wa kwanza wa msumbiji kutoka uhuru wa nchi hiyo 	male_masculine	4.1835	common_voice_sw_30020098.wav
walipinduliwa na waarabu wa oman waliorudi kuitawala zanzibar 	female_feminine	5.2275	common_voice_sw_29922435.wav
kabila la abakuria pia linakaribiana na kabila la wazanaki 	male_masculine	6.1635	common_voice_sw_30148817.wav
abeid karume alichaguliwa kuwa diwani councillor 	male_masculine	6.3075	common_voice_sw_30365508.wav
majukumu hutofautiana kulingana na kazi na ukubwa wa shirika 	male_masculine	6.3075	common_voice_sw_28819457.wav
mji mkuu ni madrid ambayo ni pia mji mkubwa wa nchi 	male_masculine	7.2435	common_voice_sw_28682920.wav
mabadiliko ya dunia na teknolijia na mapinduzi ya kilimo kwa kiasi kikubwa zilibadilisha mtazamo 	male_masculine	7.6755	common_voice_sw_30661053.wav
mji wake mkuu ni manchester 	male_masculine	3.2475	common_voice_sw_28683216.wav
takriban wananchi mia mbili nchini rwanda wanashikiliwa na jeshi la polisi 	male_masculine	2.9235	common_voice_sw_37224515.wav
msitu huu unaopatikana huko america kusini 	male_masculine	5.1555	common_voice_sw_29788667.wav
asilimia ipatayo arobaini na tatu ya idadi ya watu wote mkoani ni wahehe 	male_masculine	4.7955	common_voice_sw_29897186.wav
lakini pia wakiwa bado wanaendelea kujiuliza ni ajari ngapi za vyombo vya majini zimetokea 	male_masculine	7.0635	common_voice_sw_30143870.wav
mwili wote wa nyangumi unalingana na maisha ya majini 	male_masculine	4.7955	common_voice_sw_30470930.wav
baada ya hapo mourinho akaondoka kwenda nchini hispania 	male_masculine	3.7875	common_voice_sw_29937908.wav
mabadiliko hayo ni katika mlo wa kimasai kuelekea bidhaa zisizo za mifugo 	male_masculine	6.7035	common_voice_sw_30380153.wav
lakini pia kuna maambukizi ya hatari kama vile nimonia inayoweza kusababisha kifo 	male_masculine	7.7475	common_voice_sw_28661947.wav
mwaka huohuo luther aliitwa mbele ya bunge la ujerumani ili ajitetee 	female_feminine	6.3075	common_voice_sw_29791527.wav
ni makao makuu ya mkoa wa mara 	male_masculine	3.7155	common_voice_sw_28878449.wav
hifadhi hiyo inajumuisha mlima kilimanjaro inayozungukwa 	male_masculine	5.5155	common_voice_sw_30583012.wav
lakini inaelekea mipango haikuwa sawia na mategemeo 	male_masculine	3.6075	common_voice_sw_29939201.wav
inaongezeka pia hifadhi ya taifa ya nyerere 	male_masculine	3.87565625	common_voice_sw_30150965.wav
wajita ni watu wachapakazi sana na wasiopenda dhihaka kwenye kazi 	female_feminine	8.2155	common_voice_sw_30569737.wav
alikuwa mmoja wa washitakiwa zaidi ya nia moja 	male_masculine	5.2275	common_voice_sw_30577843.wav
wanasema mtazamo wa rais huyo kwa jamii ya 	female_feminine	4.0035	common_voice_sw_36641431.wav
uwedhekano uko wa mwenechu kuwa moya wao 	male_masculine	5.2635	common_voice_sw_32323575.wav
arsenal walilala kwa mabao mawili kwa moja dhidi ya vijana wa frank rijkard 	male_masculine	6.6675	common_voice_sw_29997547.wav
baadhi ya wanafunzi wamekuwa hawalipi ada kwa wakati hivyo kupelekea kuzuiwa kufanya mitihani yao 	male_masculine	7.6035	common_voice_sw_29978993.wav
hasa katika nchi za ulaya 	female_feminine	3.2475	common_voice_sw_29174553.wav
isimamia ya afghanistan marekani nao kama 	male_masculine	4.3275	common_voice_sw_29841705.wav
kutoka daressalaam mpaka mkoani singida katikati mwa tanzania 	male_masculine	9.0075	common_voice_sw_31409822.wav
pamoja na kujenga hoteli kubwa za kitalii ndani ya hifadhi hizo 	male_masculine	5.89165625	common_voice_sw_30628538.wav
imerejea na kuweka nguvu kwenye kujijenga 	male_masculine	4.5075	common_voice_sw_37086091.wav
nambari ya saba ilichukuliwa na msichana 	male_masculine	3.4275	common_voice_sw_37092541.wav
hata hivyo maisha ya binadamu hutegemea mazingira yake yanayomzunguka katika kujikimu 	male_masculine	5.1555	common_voice_sw_29941508.wav
mamba hujipatia chakula chao kupitia swala pofu na paa 	male_masculine	6.3435	common_voice_sw_29795605.wav
wanyama aina ya kimapunju ndicho kivutio kikubwa kwenye msitu wa jozani 	male_masculine	5.35165625	common_voice_sw_30143560.wav
lakini hii si kweli wakati wote 	male_masculine	3.6435	common_voice_sw_28582431.wav
majengo ni kati ya sehemu za kale kabisa za mji wa mbeya 	male_masculine	5.8755	common_voice_sw_28690104.wav
mkwawa alikuwa mtemi na kiongozi mkuu wa kabila la wahehe katika tanganyika 	male_masculine	6.1635	common_voice_sw_30057944.wav
mlima kilimanjaro unashika nafasi ya pili duniani 	male_masculine	5.7315	common_voice_sw_30342834.wav
viongozi hao ni mwalimu julius kambarage nyerere na sheikh abed amani karume 	male_masculine	5.8035	common_voice_sw_30179909.wav
kuwa kiko tayari kujiunga na serikali inayoongozwa na mfuasi wa chama cha hezbollah najim 	male_masculine	7.7835	common_voice_sw_36374958.wav
watu wanaoshughulika na wanyama walioambukizwa 	female_feminine	3.76765625	common_voice_sw_31812142.wav
ni msimamizi wa wakulima 	male_masculine	3.1035	common_voice_sw_29513245.wav
taarifa ya msiba ilitangazwa na rais john pombe magufuli 	male_masculine	4.5075	common_voice_sw_30047626.wav
lilifaulu kutetea eneo la ukoloni wake dhidi ya mashambulio ya kwanza ya waingereza 	female_feminine	6.1635	common_voice_sw_29922714.wav
kaseja alikuwa anaingia katika kikosi 	male_masculine	4.3275	common_voice_sw_29863171.wav
tukiendelea kubaki katika sakata la korea kaskazini waziri mkuu wa japan nao tu khan 	male_masculine	7.4955	common_voice_sw_36387573.wav
jamii zinazosahaulika huunganishwa katika kundi la suba 	male_masculine	5.0835	common_voice_sw_31409500.wav
arsene wenger hakuwahi kutwaa ubingwa huo 	male_masculine	5.9475	common_voice_sw_31472770.wav
ngoma hizo huchezwa watu wakiwa wamevaa nguo za asili 	male_masculine	4.6155	common_voice_sw_35132512.wav
