sentence	gender	duration	audio
cha kushangaza ni kwamba jina nelson siyo jina alilopewa na wazazi wake 	male_masculine	6.4155	common_voice_sw_30380504.wav
hakimu wa mkaazi wa mahakama ya belmas jijini london uingereza howart riddle 	male_masculine	4.7955	common_voice_sw_36350555.wav
mkataba wa versailles wa mwaka mwaka elfumoja mia tisa kumi na tisa 	male_masculine	6.7035	common_voice_sw_29902326.wav
lakini mwanzo watachukua kuthibiti 	female_feminine	3.3555	common_voice_sw_36746536.wav
kesi za jinai ni kesi za jamhuri ya muungano wa tanzania 	male_masculine	5.7675	common_voice_sw_29945757.wav
walikuwa wakiwarusha wanadensi kwa hewa mtu mmoja baada ya mwingine 	female_feminine	5.5875	common_voice_sw_28666746.wav
donald ngoma na wengine hawachezi katika timu zao lakini ni wafalme wa soka tanzania 	male_masculine	7.2435	common_voice_sw_30008824.wav
mwinuko wa ardhi kutoka usawa wa bahari ni mita elfu moja mia tano 	female_feminine	4.4355	common_voice_sw_31285430.wav
kulikuwa na pengo za kura 	male_masculine	1.7355	common_voice_sw_36381395.wav
jiji linao wataalam wa kutosha na katika banda letu hapa nanenane tutaendelea 	male_masculine	6.5955	common_voice_sw_29788021.wav
pia bahari hii imevutia uwekezaji kwa kiasi kikubwa katika mataifa ya ukanda ule 	female_feminine	7.1355	common_voice_sw_30553317.wav
kutatua upungufu wa ufadhili wa bajeti kisha kurekebisha na kuunda miundo msingi 	male_masculine	7.5675	common_voice_sw_29956093.wav
kondoo wanafugwa kwa wingi sehemu za nyanda za juu za kenya 	male_masculine	6.1275	common_voice_sw_29796492.wav
vinavyoonesha kuwa kuna watu walionusurika na tetemeko la ardhi 	female_feminine	6.7755	common_voice_sw_34840789.wav
twiga hupendelea zaidi kula majani na matunda kutoka kwenye miti marefu 	male_masculine	6.4155	common_voice_sw_30008246.wav
ipo mito na maziwa pia misitu na madini 	male_masculine	4.6155	common_voice_sw_30583046.wav
uliendelea hadi mwaka elfu moja mia tisa tisini mwishoni matatizo ya uchumi yalizidi kwa 	female_feminine	5.7675	common_voice_sw_36642319.wav
vijiji vilivyosajiliwa mia sita sitini na mbili 	female_feminine	4.2555	common_voice_sw_31405977.wav
ikumbukwe kuwa mataifa mengi barani afrika yalipata bendera zao 	male_masculine	6.4155	common_voice_sw_30635687.wav
wanaopatikana ndani yake na kati yao ni simba na nyumbu 	male_masculine	7.5675	common_voice_sw_31389509.wav
waingereza wakashika nafasi ya kwanza kabisa wakauza watumwa popote 	male_masculine	7.1355	common_voice_sw_29987625.wav
kikwete ndiye aliyemvutia kuingia kwenye siasa kwasababu alimpa nafasi ya kufanya kazi kwenye siasa 	male_masculine	9.5475	common_voice_sw_31304429.wav
luther aliendelea kutoa mafundisho kwa ajili ya kanisa linalofuata maagizo 	male_masculine	7.3155	common_voice_sw_30117977.wav
malazi katika hifadhi hii ni pamoja na hotel kambi za wageni 	female_feminine	9.9435	common_voice_sw_30569986.wav
